"scalar_flux","subdomain","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.9443,0,1,2.94,2.94,8,0
9.9454,0,1,2.95,2.95,8,0
9.9464,0,1,2.96,2.96,8,0
9.9474,0,1,2.97,2.97,8,0
9.9482,0,1,2.98,2.98,8,0
9.949,0,1,2.99,2.99,8,0
9.9498,0,1,3,3,8,0
9.9506,0,1,3.01,3.01,8,0
9.9514,0,1,3.02,3.02,8,0
9.9522,0,1,3.03,3.03,8,0
9.953,0,1,3.04,3.04,8,0
9.9538,0,1,3.05,3.05,8,0
9.9546,0,1,3.06,3.06,8,0
9.9554,0,1,3.07,3.07,8,0
9.9562,0,1,3.08,3.08,8,0
9.957,0,1,3.09,3.09,8,0
9.9578,0,1,3.1,3.1,8,0
9.9586,0,1,3.11,3.11,8,0
9.9594,0,1,3.12,3.12,8,0
9.9601,0,1,3.13,3.13,8,0
9.9607,0,1,3.14,3.14,8,0
9.9614,0,1,3.15,3.15,8,0
9.962,0,1,3.16,3.16,8,0
9.9626,0,1,3.17,3.17,8,0
9.9632,0,1,3.18,3.18,8,0
9.9638,0,1,3.19,3.19,8,0
9.9644,0,1,3.2,3.2,8,0
9.965,0,1,3.21,3.21,8,0
9.9656,0,1,3.22,3.22,8,0
9.9662,0,1,3.23,3.23,8,0
9.9668,0,1,3.24,3.24,8,0
9.9675,0,1,3.25,3.25,8,0
9.9681,0,1,3.26,3.26,8,0
9.9687,0,1,3.27,3.27,8,0
9.9693,0,1,3.28,3.28,8,0
9.9698,0,1,3.29,3.29,8,0
9.9702,0,1,3.3,3.3,8,0
9.9707,0,1,3.31,3.31,8,0
9.9712,0,1,3.32,3.32,8,0
9.9716,0,1,3.33,3.33,8,0
9.9721,0,1,3.34,3.34,8,0
9.9726,0,1,3.35,3.35,8,0
9.973,0,1,3.36,3.36,8,0
9.9735,0,1,3.37,3.37,8,0
9.974,0,1,3.38,3.38,8,0
9.9744,0,1,3.39,3.39,8,0
9.9749,0,1,3.4,3.4,8,0
9.9754,0,1,3.41,3.41,8,0
9.9758,0,1,3.42,3.42,8,0
9.9763,0,1,3.43,3.43,8,0
9.9767,0,1,3.44,3.44,8,0
9.9771,0,1,3.45,3.45,8,0
9.9774,0,1,3.46,3.46,8,0
9.9778,0,1,3.47,3.47,8,0
9.9781,0,1,3.48,3.48,8,0
9.9785,0,1,3.49,3.49,8,0
9.9788,0,1,3.5,3.5,8,0
9.9792,0,1,3.51,3.51,8,0
9.9796,0,1,3.52,3.52,8,0
9.9799,0,1,3.53,3.53,8,0
9.9803,0,1,3.54,3.54,8,0
9.9806,0,1,3.55,3.55,8,0
