# refinements, with, without
5.000000000000000000e+00,1.067511694999969674e+00,1.308674511333568491e+00
6.000000000000000000e+00,3.533119805000144886e+00,4.359715364667257731e+00
7.000000000000000000e+00,1.313422689499990881e+01,1.690696036366655974e+01
8.000000000000000000e+00,5.198877402833386441e+01,7.228711007366716501e+01
9.000000000000000000e+00,2.145110582924441091e+02,3.302817400057184176e+02
